ClusterInformation,KeyWords,Key
0,chair high feeding scooter black ,"Prams, Cots & Equipment :  City of Cape Town"
1,changer babe stokke cot immaculate ,"Prams, Cots & Equipment :  City of Cape Town"
2,condition brand playmat pram pink ,"Prams, Cots & Equipment :  City of Cape Town"
3,cot baby camp camping superwood ,"Prams, Cots & Equipment :  City of Cape Town"
4,car seat graco seats sale ,"Prams, Cots & Equipment :  City of Cape Town"
0,baby solid wood set drew ,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
1,cot slee walking ring pink ,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
2,bottle warmer phillips avent sterilizer ,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
3,scooter yellow compactum condition cot ,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
4,pram chair baby seat new ,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
0,pram sale bed graco blue ,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
1,car seat chair chicco available ,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
2,angelcare new monitor brand price ,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
3,baby travel swing decor gym ,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
4,cot baby graco feeding slee ,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
0,seat car breast pump safeway ,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
1,pram sale graco car baby ,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
2,cot camping wooden baby camp ,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
3,chair new baby high feeding ,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
4,baby monitor carrier set angelcare ,"Prams, Cots & Equipment :  City of Tshwane Metropolitan Municipality"
0,chelino tray eating travel little ,"Prams, Cots & Equipment :  Emfuleni Local Municipality"
1,baby seat bambo play matt ,"Prams, Cots & Equipment :  Emfuleni Local Municipality"
0,walker aid baba swimming pouch ,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality"
1,baby stroller carrier walker jumper ,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality"
2,cot camping sale camp graco ,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality"
0,baby camper swing sale cot ,"Prams, Cots & Equipment :  Matlosana Local Municipality"
1,kar celino stoel wit camper ,"Prams, Cots & Equipment :  Matlosana Local Municipality"
2,karsitplek waentjie baba met camping ,"Prams, Cots & Equipment :  Matlosana Local Municipality"
0,pram baby sale chair rocker ,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality"
1,nappy dispenser bin angelcare twin ,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality"
0,mattress minnie bed mouse play ,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality"
1,pram ring walking new condition ,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality"
2,baby chair stuff rocking high ,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality"
3,cot camp wood little chelino ,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality"
4,potty price fisher mickey ur ,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality"
0,chair sale feeding breast pump ,"Prams, Cots & Equipment : Other-SA"
1,seat car booster baby seater ,"Prams, Cots & Equipment : Other-SA"
2,koop te baba goed monitor ,"Prams, Cots & Equipment : Other-SA"
3,cot little camping wooden bed ,"Prams, Cots & Equipment : Other-SA"
4,baby equipmen swing products goods ,"Prams, Cots & Equipment : Other-SA"
0,kiddies nido baby size 18 ,Toddler's Clothing & Accessories :  City of Cape Town
1,shoes baby woolworths months variety ,Toddler's Clothing & Accessories :  City of Cape Town
0,humidifier blankies play toy polar ,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
1,clothing boys crawley imported humidifier ,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
2,baby clothes blankets lots year ,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
0,various doll trackpant camping cot ,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
1,baby girl cot items 250 ,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
2,girls toddler clothes newborn month ,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
0,shoes girls clothes baby size ,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
1,te baba koop goed twin ,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality
0,wrist rattles new nearly kids ,Toddler's Clothing & Accessories :  Emfuleni Local Municipality
1,girls dresses beautifull years wrist ,Toddler's Clothing & Accessories :  Emfuleni Local Municipality
0,Baby stuff,Toddler's Clothing & Accessories :  Matlosana Local Municipality
0,sling skirt shirt set naartjie ,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality
1,months kids geox owner clothing ,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality
0,baby clothes bottles milk mths ,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality
1,kids new leapfrog laptop sound ,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality
0,baba toddler clothing boys hempies ,Toddler's Clothing & Accessories : Other-SA
1,car automatic todler towels girl ,Toddler's Clothing & Accessories : Other-SA
